,AR
11858,LRIG1
11860,LRIG2
11862,LRIG3
11865,LRP10
11867,LRP12
11869,LRP5
11870,LRP6
11871,LRPAP1
11873,LRPPRC
11875,LRRC1
11877,LRRC14
11878,LRRC16A
11879,LRRC19
11881,LRRC20
11882,LRRC26
11883,LRRC28
11884,LRRC29
11885,LRRC40
11886,LRRC41
11887,LRRC42
11888,LRRC46
11889,LRRC49
11890,LRRC51
11891,LRRC56
11892,LRRC57
11893,LRRC58
11894,LRRC59
11896,LRRC61
11897,LRRC66
11898,LRRC75A
11899,LRRC8A
11901,LRRC8D
11903,LRRFIP1
11905,LRRFIP2
11906,LRRK2
11907,LRRN2
11908,LRRN4CL
11909,LRSAM1
11910,LRWD1
11911,LSG1
11912,LSM1
11913,LSM10
11915,LSM11
11916,LSM12
11917,LSM14A
11918,LSM14B
11919,LSM2
11921,LSM3
11922,LSM4
11923,LSM5
11924,LSM6
11926,LSM7
11927,LSM8
11928,LSMD1
11929,LSP1
11930,LSR
11931,LSS
11932,LST1
11936,LTBP1
11939,LTBP3
11941,LTBP4
11944,LTK
11945,LTN1
11946,LTV1
11947,LUC7L
11948,LUC7L2
11951,LUM
11952,LURAP1L
11954,LUZP1
11955,LVRN
11957,LY49I7
11960,LY6D
11961,LY6E
11962,LY6G5C
11963,LY6G6C
11964,LY6G6D
11965,LY6I
11966,LY75
11967,LY86
11968,LY9
11969,LY96
11970,LYAR
11971,LYL1
11972,LYN
11973,LYNX1
11974,LYPD3
11975,LYPD8
11976,LYPLA1
11977,LYPLA2
11978,LYPLAL1
11979,LYRM2
11980,LYRM4
11982,LYSMD1
11989,LYZ1
11991,LYZ2
11992,LZTFL1
11993,LZTR1
11994,LZTS2
11996,LZTS3
11997,M1AP
11998,M6PR
12000,MAB21L2
12001,MACC1
12002,MACF1
12004,MACIR
12007,MACROH2A1
12009,MAD2L1BP
12011,MADCAM1
12013,MAEA
12015,MAF
12016,MAF1
12020,MAFK
12022,MAG
12023,MAGED1
12024,MAGED2
12025,MAGEH1
12027,MAGI1
12028,MAGI2
12029,MAGI3
12030,MAGOH
12031,MAGOHB
12033,MAGT1
12034,MAIP1
12035,MAK16
12036,MAL2
12037,MALAT1
12038,MALL
12040,MALSU1
12041,MALT1
12042,MAMDC4
12043,MAML1
12044,MAN1A
12045,MAN1A2
12046,MAN1C1
12048,MAN2A1
12050,MAN2A2
12051,MAN2B2
12052,MAN2C1
12054,MANBA
12055,MANBAL
12056,MANF
12057,MANSC1
12059,MAOA
12062,MAP1A
12063,MAP1B
12064,MAP1LC3A
12067,MAP1S
12069,MAP2
12072,MAP2K2
12073,MAP2K3
12074,MAP2K4
12075,MAP2K5
12077,MAP2K7
12078,MAP3K10
12079,MAP3K11
12080,MAP3K2
12081,MAP3K3
12082,MAP3K4
12085,MAP3K9
12086,MAP4
12087,MAP4K1
12088,MAP4K2
12089,MAP4K3
12092,MAP4K5
12094,MAP6
12095,MAP7D1
12099,MAPK11
12103,MAPK15
12104,MAPK1IP1
12108,MAPK6
12109,MAPK7
12112,MAPKAP1
12113,MAPKAPK2
12115,MAPKAPK3
12116,MAPKAPK5
12117,MAPRE1
12119,MAPRE2
12120,MAPRE3
12123,MARCHF1
12124,MARCHF10
12125,MARCHF2
12126,MARCHF3
12127,MARCHF5
12129,MARCHF6
12130,MARCHF7
12131,MARCHF8
12133,MARCHF9
12137,MARCKSL1
12139,MARK1
12140,MARK2
12141,MARK3
12143,MARK4
12145,MARS
12147,MARVELD2
12148,MARVELD3
12152,MAST4
12153,MAT2A
12155,MAT2B
12157,MATK
12158,MATN4
12159,MAU2
12160,MAVS
12162,MAZ
12163,MBD1
12165,MBD2
12167,MBD3
12168,MBIP
12169,MBLAC2
12170,MBNL1
12172,MBNL2
12177,MBOAT7
12179,MBP
12181,MBTD1
12182,MBTPS1
12183,MC2R
12184,MC3R
12186,MC5R
12187,MCAM
12188,MCAT
12190,MCCC1
12192,MCCC2
12193,MCEE
12194,MCF2L
12196,MCHR1
12199,MCM10
12202,MCM4
12204,MCM7
12205,MCM8
12206,MCM9
12207,MCMBP
12209,MCOLN1
12210,MCPT4
12211,MCPT8L2
12212,MCRIP1
12213,MCRIP2
12214,MCRS1
12215,MCTP1
12216,MCTS1
12218,MCTS2
12219,MCU
12220,MCUB
12221,MCUR1
12223,MDFIC
12225,MDGA2
12228,MDH2
12233,MDN1
12234,MDP1
12237,ME2
12239,MEA1
12241,MEAF6
12242,MECOM
12243,MECR
12246,MED10
12247,MED11
12248,MED12
12250,MED13
12251,MED13L
12252,MED14
12254,MED15
12255,MED16
12257,MED17
12258,MED18
12260,MED20
12261,MED21
12263,MED22
12264,MED23
12265,MED24
12266,MED25
12267,MED26
12268,MED27
12270,MED28
12271,MED30
12273,MED31
12275,MED4
12276,MED6
12277,MED7
12279,MED8
12280,MED9
12282,MEF2A
12285,MEF2C
12286,MEF2D
12287,MEFV
12288,MEG3
12290,MEGF8
12291,MEGF9
12292,MEI1
12293,MEIS2
12294,MEIS3
12295,MEMO1
12297,MEN1
12298,MEOX1
12299,MEP1A
12301,MEP1B
12303,MEPCE
12305,MERTK
12306,MESDC1
12307,MESDC2
12308,MESP2
12309,MET
12312,METAP1
12314,METAP2
12316,METRN
12318,METRNL
12320,METTL1
12321,METTL10
12322,METTL13
12323,METTL15
12325,METTL16
12326,METTL18
12327,METTL2
12328,METTL21A
12329,METTL23
12330,METTL26
12331,METTL27
12332,METTL3
12334,METTL5
12335,METTL6
12336,METTL7A1
12337,METTL7A2
12338,METTL9
12340,MEX3C
12341,MEX3D
12342,MFAP1A
12344,MFAP2
12345,MFAP3L
12346,MFAP4
12348,MFAP5
12349,MFF
12350,MFGE8
12351,MFHAS1
12352,MFN1
12355,MFSD1
12356,MFSD10
12357,MFSD13A
12358,MFSD14A
12359,MFSD14B
12360,MFSD2A
12361,MFSD4A
12363,MFSD5
12365,MFSD6
12366,MFSD6L
12367,MFSD8
12369,MGA
12370,MGARP
12371,MGAT1
12373,MGAT3
12374,MGAT4A
12375,MGAT4B
12376,MGAT4C
12377,MGAT5
12378,MGEA5
12379,MGL2
12384,MGRN1
12387,MGST2
12389,MGST3
12391,MIA2
12392,MIA3
12393,MIB1
12394,MIB2
12396,MICAL1
12397,MICAL3
12398,MICALL1
12399,MICALL2
12401,MICOS10
12402,MICOS13
12403,MICU1
12405,MICU2
12406,MID1IP1
12407,MID2
12408,MIDN
12409,MIEF1
12410,MIEF2
12411,MIEN1
12412,MIER1
12413,MIER3
12414,MIF4GD
12415,MILL2
12416,MINDY1
12417,MINDY2
12418,MINDY3
12419,MINK1
12420,MINOS1
12421,MINPP1
12423,MIOX
12424,MIPOL1
12425,MIRT1
12426,MIS18A
12427,MISP
12435,MKL2
12436,MKLN1
12438,MKNK1
12439,MKRN1
12441,MKRN2
12442,MKRN2OS
12443,MKX
12444,MLF2
12445,MLH1
12447,MLH3
12449,MLLT1
12451,MLLT3
12452,MLLT4
12453,MLLT6
12455,MLPH
12456,MLST8
12458,MLX
12459,MLXIP
12460,MLXIPL
12461,MLYCD
12462,MMAA
12463,MMACHC
12464,MMADHC
12465,MMD
12466,MME
12468,MMGT1
12470,MMGT2
12472,MMP11
12474,MMP12
12476,MMP14
12478,MMP15
12482,MMP21
12483,MMP23
12484,MMP28
12490,MMRN1
12492,MMUT
12493,MNAT1
12494,MNT
12495,MNX1
12498,MOB1B
12499,MOB2
12500,MOB3A
12501,MOB3B
12503,MOB4
12505,MOCOS
12506,MOCS1
12509,MOCS3
12510,MOGS
12512,MOK
12513,MON1A
12514,MON1B
12516,MON2
12518,MORC2B
12520,MORC4
12521,MORF4L1
12523,MORF4L2
12525,MORN4
12526,MOSPD1
12528,MOSPD2
12529,MOSPD3
12531,MOSPD4
12532,MOXD1
12533,MPC1
12534,MPC2
12535,MPDU1
12536,MPG
12537,MPHOSPH10
12538,MPHOSPH6
12540,MPHOSPH8
12541,MPHOSPH9
12543,MPLKIP
12544,MPND
12547,MPP1
12549,MPP2
12551,MPP7
12552,MPPE1
12553,MPRIP
12554,MPST
12556,MPTX1
12558,MPV17
12560,MPV17L2
12562,MPZL2
12563,MR1
12564,MRAS
12565,MRC2
12567,MRFAP1
12568,MRGPRA3
12569,MRGPRF
12571,MRI1
12573,MRM3
12574,MRO
12575,MROH1
12576,MRPL1
12577,MRPL10
12578,MRPL11
12579,MRPL12
12581,MRPL13
12582,MRPL14
12584,MRPL15
12585,MRPL17
12587,MRPL18
12589,MRPL19
12590,MRPL2
12592,MRPL20
12593,MRPL22
12594,MRPL23
12595,MRPL24
12596,MRPL27
12597,MRPL28
12599,MRPL3
12601,MRPL32
12603,MRPL33
12605,MRPL34
12606,MRPL35
12607,MRPL36
12609,MRPL37
12611,MRPL38
12612,MRPL39
12613,MRPL4
12614,MRPL40
12616,MRPL41
12618,MRPL42
12620,MRPL43
12622,MRPL44
12624,MRPL45
12625,MRPL46
12626,MRPL47
12627,MRPL48
12628,MRPL50
12630,MRPL51
12631,MRPL52
12633,MRPL53
12634,MRPL54
12635,MRPL55
12636,MRPL57
12638,MRPL58
12639,MRPL9
12640,MRPS10
12642,MRPS11
12643,MRPS12
12644,MRPS14
12645,MRPS15
12646,MRPS16
12648,MRPS17
12649,MRPS18A
12650,MRPS18B
12651,MRPS18C
12652,MRPS2
12654,MRPS21
12655,MRPS22
12657,MRPS23
12658,MRPS24
12659,MRPS26
12661,MRPS27
12662,MRPS28
12664,MRPS30
12666,MRPS31
12668,MRPS33
12670,MRPS34
12672,MRPS35
12674,MRPS36
12676,MRPS5
12677,MRPS6
12678,MRPS7
12680,MRRF
12682,MRTO4
12684,MS4A1
12685,MS4A10
12686,MS4A4B
12687,MS4A5
12688,MS4A6C
12689,MS4A6D
12690,MS4A8A
12692,MSANTD4
12693,MSGN1
12694,MSH2
12697,MSH5
12698,MSH6
12699,MSI1
12703,MSL1
12704,MSL3
12706,MSMO1
12708,MSN
12711,MSRB2
12713,MST1
12714,MST1R
12715,MSTO1
12717,MSX3
12720,MT3
12723,MTA2
12724,MTAP
12726,MTARC1
12727,MTARC2
12730,MTCH2
12732,MTCP1
12733,MTDH
12735,MTERF2
12736,MTF1
12737,MTF2
12739,MTFP1
12741,MTFR1
12743,MTFR1L
12745,MTG1
12746,MTG2
12748,MTHFD1
12750,MTHFD1L
12753,MTHFS
12754,MTHFSD
12755,MTIF2
12757,MTIF3
12758,MTLN
12759,MTM1
12760,MTMR1
12761,MTMR12
12762,MTMR2
12764,MTMR6
12766,MTMR9
12767,MTO1
12770,MTPAP
12772,MTPN
12773,MTRES1
12774,MTREX
12775,MTRR
12777,MTUS1
12778,MTUS2
12779,MTX1
12780,MTX2
12782,MUC13
12783,MUC16
12784,MUC2
12786,MUC20
12788,MUC3
12789,MUC4
12791,MUC5AC
12792,MUL1
12793,MUP3
12794,MUP4
12795,MUS81
12797,MUTED
12798,MUTYH
12800,MVB12A
12803,MVK
12804,MVP
12806,MX2
12808,MXD3
12809,MXD4
12810,MXI1
12811,MXRA8
12812,MYADM
12814,MYB
12816,MYBBP1A
12817,MYBL1
12818,MYBL2
12820,MYBPC2
12823,MYCBP2
12824,MYD88
12825,MYDGF
12826,MYG1
12828,MYH1
12830,MYH11
12831,MYH2
12832,MYH6
12833,MYH9
12834,MYL1
12836,MYL12A
12837,MYL4
12838,MYL6
12840,MYL6B
12841,MYL7
12843,MYLIP
12848,MYNN
12850,MYO10
12851,MYO15B
12852,MYO18A
12854,MYO19
12856,MYO1A
12857,MYO1C
12858,MYO1D
12860,MYO1E
12861,MYO1F
12862,MYO1G
12863,MYO5A
12865,MYO5B
12867,MYO5C
12868,MYO6
12869,MYO7A
12870,MYO9A
12871,MYO9B
12872,MYOCD
12873,MYOD1
12874,MYOF
12875,MYOG
12876,MYOM1
12877,MYOM3
12878,MYOZ3
12879,MYPOP
12880,MYRIP
12882,MYSM1
12883,MYST2
12884,MZT1
12886,MZT2
12888,N4BP1
12889,N4BP2
12890,N4BP2L2
12891,N4BP3
12893,NAA10
12895,NAA15
12896,NAA20
12898,NAA30
12899,NAA35
12900,NAA38
12901,NAA50
12903,NAA60
12904,NAA80
12905,NAAA
12907,NAB1
12909,NAB2
12910,NABP1
12911,NABP2
12912,NACA
12913,NACAD
12914,NACC1
12916,NACC2
12917,NADSYN1
12919,NAE1
12920,NAF1
12921,NAGK
12922,NAGLU
12924,NAGPA
12925,NAGS
12927,NAIF1
12928,NAIP1
12932,NAIP5
12933,NAIP6
12934,NALF1
12937,NANOG
12938,NANOS1
12939,NANOS2
12940,NANP
12941,NANS
12942,NAP1L1
12943,NAP1L3
12944,NAP1L4
12946,NAPA
12947,NAPEPLD
12948,NAPG
12949,NAPRT
12951,NAPSA
12953,NARS
12954,NARS2
12955,NAT10
12956,NAT14
12957,NAT15
12958,NAT2
12960,NAT6
12961,NAT8
12962,NAT8F1
12964,NAT9
12965,NATD1
12967,NAV1
12968,NAXD
12970,NAXE
12971,NBAS
12972,NBDY
12973,NBEAL2
12974,NBN
12975,NBR1
12977,NCAM1
12981,NCAPD3
12983,NCAPH2
12984,NCBP1
12985,NCBP2
12986,NCDN
12990,NCF1
12991,NCF4
12992,NCK1
12993,NCK2
12994,NCKAP1
12995,NCKAP1L
12997,NCKAP5L
12998,NCKIPSD
12999,NCL
13001,NCLN
13005,NCOA4
13007,NCOA5
13008,NCOA6
13009,NCOA7
13010,NCOR1
13013,NCS1
13014,NCSTN
13016,NDE1
13017,NDEL1
13020,NDFIP2
13021,NDNL2
13022,NDOR1
13025,NDRG2
13026,NDRG3
13027,NDRG4
13029,NDST1
13030,NDUFA1
13032,NDUFA10
13034,NDUFA11
13035,NDUFA12
13036,NDUFA13
13039,NDUFA3
13040,NDUFA4
13041,NDUFA5
13043,NDUFA6
13045,NDUFA7
13046,NDUFA8
13047,NDUFA9
13048,NDUFAB1
13049,NDUFAF1
13051,NDUFAF2
13052,NDUFAF3
13053,NDUFAF4
13054,NDUFAF6
13055,NDUFB10
13056,NDUFB11
13057,NDUFB2
13058,NDUFB3
13059,NDUFB4
13060,NDUFB5
13061,NDUFB6
13063,NDUFB7
13064,NDUFB8
13066,NDUFB9
13067,NDUFC1
13069,NDUFC2
13071,NDUFS1
13073,NDUFS2
13075,NDUFS4
13078,NDUFS6
13079,NDUFS8
13080,NDUFV2
13081,NDUFV3
13083,NEBL
13084,NECAB2
13086,NECAP1
13088,NECAP2
13089,NECTIN1
13091,NECTIN2
13093,NEDD1
13095,NEDD4
13097,NEDD4L
13099,NEDD9
13101,NEGR1
13102,NEIL1
13104,NEK1
13105,NEK5
13106,NEK6
13107,NEK7
13108,NEK8
13109,NEK9
13111,NELFB
13113,NELFE
13114,NEMF
13116,NEMP1
13117,NENF
13118,NEO1
13122,NETO2
13123,NEU1
13124,NEU2
13125,NEU3
13126,NEURL1A
13127,NEURL1B
13129,NEURL2
13130,NEURL3
13131,NEURL4
13132,NEUROG3
13133,NF1
13135,NF2
13137,NFAM1
13138,NFAT5
13141,NFATC2IP
13142,NFE2L1
13159,NFE2L3
13160,NFIA
13162,NFIC
13164,NFIX
13167,NFKB2
13172,NFKBID
13173,NFKBIL1
13174,NFRKB
13175,NFS1
13177,NFU1
13178,NFX1
13179,NFYA
13180,NFYB
13181,NFYC
13182,NGDN
13186,NGLY1
13187,NGRN
13189,NHEDC1
13190,NHEJ1
13191,NHLRC1
13193,NHLRC3
13194,NHP2
13196,NIBAN1
13197,NIFK
13198,NIM1K
13199,NINJ2
13200,NIP7
13201,NIPA1
13203,NIPA2
13204,NIPAL1
13205,NIPAL2
13206,NIPAL3
13208,NIPAL4
13209,NIPBL
13210,NIPSNAP1
13211,NIPSNAP2
13212,NIPSNAP3B
13214,NISCH
13215,NIT1
13217,NIT2
13219,NKAIN1
13220,NKAIN3
13221,NKAIN4
13223,NKAP
13227,NKD2
13228,NKG7
13230,NKPD1
13233,NKX1-2
13234,NKX2-2
13236,NKX2-3
13237,NKX2-4
13240,NLGN2
13241,NLGN3
13242,NLK
13243,NLRC4
13244,NLRP10
13245,NLRP5
13246,NLRP6
13248,NLRX1
13251,NME2
13252,NME3
13253,NME4
13254,NME6
13255,NMNAT3
13256,NMRAL1
13257,NMT1
13259,NMT2
13260,NMU
13262,NNT
13264,NOA1
13265,NOB1
13266,NOC2L
13267,NOC3L
13268,NOC4L
13270,NOCT
13271,NOL12
13273,NOL3
13274,NOL4L
13275,NOL6
13276,NOL7
13278,NOL9
13279,NOLC1
13280,NOMO1
13281,NONO
13283,NOP10
13284,NOP14
13285,NOP16
13287,NOP2
13292,NOS1AP
13301,NOSIP
13302,NOTCH1
13304,NOTCH2
13306,NOTCH3
13308,NOTCH4
13315,NPAS2
13316,NPB
13317,NPC2
13319,NPCD
13320,NPDC1
13321,NPEPL1
13323,NPEPPS
13324,NPHP3
13325,NPHP4
13327,NPL
13328,NPLOC4
13329,NPM1
13330,NPM3
13332,NPR2
13333,NPRL2
13334,NPRL3
13335,NPTN
13337,NPTX2
13342,NQO2
13347,NR1H2
13348,NR1H4
13349,NR2C1
13350,NR2C2AP
13352,NR2E3
13354,NR2F2
13356,NR2F6
13358,NR3C2
13361,NR5A1
13362,NRAP
13364,NRAS
13366,NRBF2
13367,NRBP1
13369,NRCAM
13370,NRD1
13377,NRP2
13379,NRROS
13380,NRSN1
13382,NRTN
13385,NRXN2
13388,NSD1
13389,NSDHL
13390,NSFL1C
13391,NSG1
13392,NSG2
13393,NSMAF
13394,NSMCE1
13395,NSMCE2
13396,NSMCE4A
13398,NSMF
13400,NSRP1
13401,NSUN3
13402,NSUN4
13403,NSUN5
13404,NSUN6
13405,NT5C2
13406,NT5C3
13407,NT5DC1
13408,NT5DC3
13409,NT5E
13411,NT5M
13412,NTAN1
13414,NTHL1
13415,NTMT1
13416,NTNG1
13417,NTPCR
13419,NTRK2
13420,NTS
13421,NTSR1
13422,NTSR2
13423,NUAK1
13427,NUBP1
13428,NUBP2
13429,NUCB1
13431,NUCKS1
13432,NUDCD3
13434,NUDT1
13437,NUDT12
13438,NUDT14
13439,NUDT16
13440,NUDT16L1
13441,NUDT18
13442,NUDT19
13444,NUDT2
13445,NUDT21
13447,NUDT3
13448,NUDT4
13449,NUDT5
13451,NUDT6
13452,NUDT7
13453,NUDT9
13454,NUFIP2
13455,NUMA1
13457,NUP133
13458,NUP160
13459,NUP188
13460,NUP205
13461,NUP210
13462,NUP214
13463,NUP35
13464,NUP37
13465,NUP43
13466,NUP50
13467,NUP54
13468,NUP62
13470,NUP85
13471,NUP88
13472,NUP93
13474,NUPL1
13475,NUPL2
13477,NUS1
13479,NUTF2
13481,NVL
13482,NXF1
13483,NXN
13485,NXNL2
13486,NXPE2
13487,NXPE3
13489,NXPH3
13490,NXT1
13491,NXT2
13496,OAS1K
13497,OAS2
13498,OASL2
13501,OAT
13503,OAZ1
13505,OAZ2
13506,OCIAD1
13507,OCIAD2
13509,OCRL
13511,OCSTAMP
13514,ODF2
13515,ODF2L
13516,ODF3
13518,OFD1
13519,OGDH
13521,OGFOD1
13523,OGFOD2
13524,OGFOD3
13525,OGFR
13526,OGFRL1
13527,OGG1
13528,OGT
13530,OLA1
13531,OLFM1
13532,OLFM4
13533,OLFML2B
13535,OLFML3
13537,OLFR1285
13538,OLIG3
13539,OLR1058
13540,OLR1079
13541,OLR1086
13542,OLR1087
13543,OLR1195
13544,OLR1198
13545,OLR1213
13546,OLR1265
13547,OLR1330
13548,OLR136
13549,OLR1417
13550,OLR1421
13551,OLR1449
13552,OLR1458
13553,OLR1485
13554,OLR1558
13555,OLR1583
13556,OLR1590
13557,OLR1639
13558,OLR1666
13559,OLR257
13560,OLR404
13561,OLR413
13562,OLR415
13563,OLR454
13564,OLR527
13565,OLR6
13566,OLR652
13567,OLR722
13568,OLR725
13569,OLR756
13570,OLR778
13571,OLR783
13572,OLR811
13573,OLR824
13574,OLR853
13575,OLR87
13576,OLR903
13577,OMA1
13578,OMD
13579,ONECUT2
13580,OPA1
13582,OPA3
13584,OPHN1
13585,OPLAH
13586,OPN3
13587,OPRL1
13588,OPTC
13589,OR10A48
13590,OR10AG59
13591,OR10AK13
13592,OR10B1
13593,OR10D1B
13595,OR10D5
13596,OR10J3B
13597,OR10J7
13598,OR10Q12
13599,OR10Q3
13600,OR10V5
13601,OR11G1
13602,OR11G7
13603,OR11M3
13604,OR12D13
13606,OR12E1
13607,OR12E7
13608,OR13A27
13609,OR13C7E-PS1
13610,OR13F5
13611,OR13L2
13613,OR13P5
13614,OR14C41
13615,OR14C45
13616,OR14J3
13617,OR1AB2
13618,OR1E31
13619,OR1F12
13620,OR1F19
13621,OR1J13
13622,OR1J14
13623,OR2A54
13624,OR2AG12
13625,OR2AK5
13626,OR2AV9
13627,OR2B4
13628,OR2BD2
13629,OR2D36
13630,OR2F1B
13631,OR2G1
13632,OR2M13
13633,OR2O1
13634,OR2R2
13635,OR2T26
13636,OR2W2
13637,OR2W4
13638,OR2Y11
13639,OR2Y13
13640,OR2Y14
13642,OR2Y15
13643,OR2Z2
13644,OR3A4
13645,OR4A68
13646,OR4C113
13647,OR4C114
13648,OR4C121
13649,OR4C31
13650,OR4C52
13651,OR4D2B
13652,OR4E5
13653,OR4F14
13654,OR4F14B
13655,OR4F56
13656,OR4F7
13657,OR4G17
13659,OR4K15C
13660,OR4K36
13661,OR4X13
13662,OR51A10
13663,OR51A25
13664,OR51A8
13665,OR51AA5
13666,OR51AF1
13668,OR51V14
13669,OR52A33
13670,OR52AB4
13671,OR52AC1
13674,OR52B3
13676,OR52E19B
13677,OR52E7
13678,OR52H2
13679,OR52H9
13680,OR52R1C
13682,OR52X1
13683,OR52Z12
13684,OR52Z13
13685,OR55B4
13687,OR5A3
13688,OR5AE2
13689,OR5AF1
13690,OR5AN1B
13691,OR5AQ7
13692,OR5B106
13693,OR5B12B
13694,OR5B95
13695,OR5BW2
13696,OR5D36
13697,OR5G23
13698,OR5G9
13699,OR5K14
13700,OR5K8
13701,OR5L13
13702,OR5M10B
13703,OR5M9B
13704,OR5P50
13705,OR5P59
13706,OR5P72
13707,OR5P79
13708,OR5W1
13709,OR5W11
13710,OR5W18
13711,OR5W22
13712,OR6B13
13714,OR6C1B
13715,OR6C201
13716,OR6C5C
13717,OR6C66B
13718,OR6C8
13719,OR6F2
13720,OR6Z1
13721,OR6Z7
13722,OR7A42
13723,OR7G29
13724,OR7G30
13725,OR8B12I
13726,OR8B36
13727,OR8B41
13728,OR8B53
13729,OR8B54
13730,OR8D1B
13731,OR8D23
13732,OR8D6
13733,OR8G2
13734,OR8G27
13735,OR8G28
13736,OR8G2B
13737,OR8G30
13738,OR8G4
13739,OR8K23
13740,OR8K28
13741,OR8K53
13742,OR8S10
13743,OR8S2
13744,OR9G8
13745,OR9I2
13746,OR9S13
13749,ORAI2
13750,ORAI3
13751,ORAOV1
13752,ORC1
13753,ORC3
13755,ORC4
13756,ORC6
13758,ORMDL1
13760,ORMDL2
13761,ORMDL3
13762,OS9
13763,OSBPL10
13764,OSBPL11
13766,OSBPL1A
13768,OSBPL2
13770,OSBPL3
13773,OSBPL7
13775,OSBPL8
13776,OSBPL9
13777,OSCAR
13778,OSGEP
13779,OSGEPL1
13781,OSGIN1
13783,OSGIN2
13784,OSMR
13786,OST4
13788,OSTA
13789,OSTC
13791,OSTF1
13793,OSTM1
13794,OTC
13795,OTOG
13796,OTUB1
13797,OTUD4
13799,OTUD5
13800,OTUD6B
13802,OTUD7B
13804,OTULIN
13805,OVCA2
13807,OVCH2
13808,OVGP1
13809,OVOL1
13810,OVOL2
13812,OXA1L
13815,OXGR1
13816,OXLD1
13817,OXNAD1
13818,OXR1
13820,OXSM
13821,OXSR1
13823,OXT
13824,P2RX2
13825,P2RX4
13828,P2RY10
13830,P2RY14
13832,P2RY6
13833,P3H3
13834,P3H4
13837,PABPC1
13839,PABPC6
13840,PABPN1
13841,PACS1
13842,PACS2
13843,PACSIN1
13844,PACSIN2
13846,PACSIN3
13847,PADI1
13849,PADI2
13850,PADI4
13851,PAF1
13852,PAFAH1B1
13854,PAFAH1B2
13855,PAFAH1B3
13856,PAFAH2
13857,PAG1
13858,PAGR1A
13859,PAICS
13861,PAIP1
13862,PAIP2
13863,PAIP2B
13864,PAK1
13866,PAK1IP1
13867,PAK2
13870,PAK4
13871,PALD1
13872,PALS1
13873,PALS2
13875,PAM16
13878,PAN2
13879,PAN3
13881,PANK1
13882,PANK2
13884,PANK3
13885,PANX1
13886,PAOX
13887,PAPD4
13888,PAPD5
13889,PAPD7
13890,PAPOLA
13892,PAPOLG
13894,PAPPA
13895,PAPSS1
13898,PAQR4
13899,PAQR5
13900,PAQR7
13901,PAQR9
13902,PARD3
13903,PARD6B
13904,PARG
13907,PARK2
13908,PARK7
13909,PARL
13911,PARM1
13912,PARN
13917,PARP12
13918,PARP14
13920,PARP16
13921,PARP2
13922,PARP3
13923,PARP6
13924,PARP8
13925,PARP9
13926,PARS2
13927,PARVA
13929,PARVG
13931,PATL1
13933,PATZ1
13934,PAX4
13935,PAX6
13937,PAXIP1
13938,PBDC1
13939,PBLD2
13940,PBRM1
13943,PBX2
13944,PCBD1
13946,PCBD2
13948,PCBP1
13949,PCBP2
13951,PCBP3
13952,PCBP4
13953,PCCB
13954,PCDH12
13956,PCDH19
13957,PCDH7
13958,PCDH9
13959,PCDHA6
13960,PCDHB15
13961,PCDHB17
13962,PCDHB18
13963,PCDHB4
13964,PCDHB5
13966,PCDHGA1
13967,PCDHGA4
13968,PCED1A
13970,PCED1B
13972,PCF11
13973,PCGF1
13974,PCGF3
13975,PCGF5
13976,PCID2
13977,PCIF1
13979,PCLAF
13980,PCLO
13982,PCM1
13983,PCMT1
13985,PCMTD1
13986,PCMTD2
13998,PCNP
14000,PCNT
14002,PCNX3
14003,PCNXL2
14004,PCP2
14005,PCSK1
14007,PCSK1N
14010,PCSK5
14011,PCSK6
14012,PCSK7
14014,PCSK9
14016,PCX
14017,PCYOX1
14019,PCYOX1L
14020,PCYT1A
14021,PDAP1
14022,PDCD1
14025,PDCD11
14026,PDCD2
14028,PDCD2L
14030,PDCD6
14033,PDCL
14034,PDCL3
14035,PDE12
14036,PDE1B
14037,PDE1C
14038,PDE2A
14039,PDE3B
14040,PDE4A
14042,PDE4B
14043,PDE4C
14044,PDE4D
14045,PDE4DIP
14047,PDE6D
14048,PDE7A
14049,PDE8A
14053,PDGFRL
14054,PDHA1
14055,PDHB
14057,PDHX
14058,PDIA4
14060,PDIA6
14061,PDIK1L
14066,PDLIM1
14068,PDLIM3
14070,PDLIM5
14073,PDLIM7
14074,PDPK1
14075,PDPN
14076,PDPR
14077,PDRG1
14078,PDS5A
14079,PDS5B
14080,PDSS1
14082,PDX1
14085,PDXK
14086,PDXP
14088,PDZD11
14089,PDZD3
14090,PDZD8
14091,PDZK1
14092,PDZK1IP1
14093,PDZRN3
14094,PEA15A
14096,PEBP1
14099,PECR
14100,PEDS1
14101,PEF1
14103,PEG3
14104,PELI1
14105,PELI2
14107,PELO
14108,PELP1
14112,PEO1
14113,PEPD
14119,PES1
14121,PEX1
14122,PEX10
14123,PEX11B
14125,PEX12
14126,PEX13
14128,PEX16
14129,PEX19
14131,PEX2
14135,PEX5
14137,PEX5L
14138,PEX6
14140,PEX7
14142,PF4
14143,PFAS
14144,PFDN1
14145,PFDN2
14147,PFDN6
14150,PFKFB2
14153,PFKL
14154,PFKM
14155,PFKP
14156,PFN1
14158,PFN2
14161,PGA5
14162,PGAM1
14164,PGAP1
14165,PGAP2
14167,PGAP3
14169,PGAP4
14170,PGAP6
14172,PGBD5
14174,PGCP
14175,PGD
14177,PGGHG
14178,PGGT1B
14181,PGLS
14182,PGLYRP1
14184,PGLYRP2
14185,PGM1
14186,PGM2
