,AR
703,LOXL1
704,LRP4
705,LRRC31
706,LRRN4
707,LUC7L3
708,LY6F
709,MCFD2
710,MDM4
711,ME3
712,MGAT2
713,MGP
714,MKI67
718,MKKS
719,MTMR3
720,MVD
721,N4BP2L1
722,NCOA1
723,NCOA2
724,NCOA3
725,NCOR2
726,NEB
727,NEDD8
728,NFIB
729,NFIL3
730,NKTR
731,NOP56
732,NR1D1
733,NR2F1
740,NRIP1
741,NRN1
742,NSA2
743,NUAK2
744,NUCB2
745,NUMB
746,OBP2A
747,OVOL3
748,OXCT1
749,PAMR1
750,PAPSS2
752,PCNX
753,PCNX2
754,PCSK2
755,PIEZO2
756,PIK3C2G
757,PIP5K1A
758,PLD6
759,PNLIPRP1
760,PNLIPRP2
761,POLB
762,POLD1
763,POLG
764,POLR2A
765,POLR2B
766,POLR2C
767,PPARGC1A
768,PREX2
769,PRPMP5
770,PRRX2
771,PRSS1
772,PRSS2
774,PTGES3
775,RASEF
776,RB1
777,RBM15B
778,RBM3
779,RBPJL
781,RGS2
782,RPL39L
783,RPP25
784,RPS4Y2
785,RSAD2
786,RSPO1
787,RSRP1
788,RTP3
789,SCML4
790,SCN3A
791,SCTR
792,SEC16B
793,SEC23B
794,SEMA3D
795,SERPINA3F
796,SFRP2
797,SFRP5
798,SGK2
799,SGMS2
800,SH3D21
801,SHLD2
802,SIDT1
803,SLC13A4
804,SLC22A30
805,SLC26A10
806,SLC26A4
807,SLC44A4
808,SLC4A1
809,SLC5A5
810,SLC9A4
811,SMARCA4
812,SNAP23
813,SNED1
814,SNHG11
815,SNRPF
816,SOSTDC1
817,SOX9
824,SP5
825,SPAST
826,SPON1
827,SRP54C
828,SRRM1
829,SRSF11
830,SRSF5
831,ST8SIA6
832,STRBP
833,SUMO1
834,SYN2
835,SYT16
836,SYTL3
837,TAF1
838,TAGLN
839,TBC1D4
840,TBP
841,TDRP
842,TFF3
843,TGFB2
844,TMED3
845,TMED6
846,TMEM106B
847,TMEM266
848,TMOD3
849,TMPRSS2
852,TNN
853,TOR1AIP2
854,TREM2
855,TRIM50
856,TRY4
857,TRY5
858,TSC22D4
859,TSPAN18
860,TUG1
861,TXLNG
862,UNC5A
863,UPK3B
864,VIT-5
866,WNT10A
867,WSCD2
868,XRCC1
869,XRCC6
871,ZFP322A
872,ZFP941
873,CHRM1
874,FLT3
875,JAK2
877,GLUD1
878,GPT
879,SORD
880,FOLH1
881,GRPR
882,DHCR24
899,JUN
901,MAPK9
905,CASP1
906,CCL2
907,IL1A
908,NR4A2
909,SLC6A3
910,TH
911,TLR4
912,ATF4
915,AXIN2
919,BIRC5
937,EIF4EBP1
940,IDH1
941,ITGB1
945,MTOR
946,NR4A1
962,PTK2
964,RPS6KB1
965,SESN2
969,TGFB1
972,TXNDC5
976,XBP1
985,IFNG
993,NOS2
1011,SP4
1022,ANXA1
1023,CARD6
1024,FAIM2
1025,GRM4
1026,LCK
1027,PAX7
1028,PLEKHF1
1029,SOCS3
1030,TIMP3
1032,TP63
1033,ADAMTS13
1034,ADORA1
1035,AGR3
1036,ALDH1A3
1043,ASCL1
1044,BCAS3
1045,CACNB2
1047,CELSR2
1049,DDIT4
1050,DIO2
1051,EIF4EBP3
1052,EPAS1
1060,ESR2
1065,FOSL2
1066,GABBR2
1068,GPX1A
1069,GREB1
1071,HIST1H2AH
1072,HSPA13
1074,IGF1R
1075,KCNK6
1076,MEF2B
1077,MYB-AS1
1087,PABPC5
1088,PGR
1091,PHF19
1092,PPFIA4
1093,PRKCD
1094,PSCA
1095,RARA
1096,RGPD6
1097,RMRP
1098,RN7SK
1099,RN7SL2
1100,RORA-AS1
1101,RPPH1
1102,RUNX2
1103,SCARNA10
1104,SCARNA2
1105,SEMA3B
