keyge,word
FOXD1,FOXD1
FOXD2,FOXD2
FOXD2-AS1,FOXD2-AS1
FOXD2OS,FOXD2OS
FOXD3,FOXD3
FOXD3-AS1,FOXD3-AS1
FOXD3.L,FOXD3.L
FOXD4,FOXD4
FOXD4L1,FOXD4L1
FOXD4L1.1,FOXD4L1.1
FOXD4L3,FOXD4L3
FOXD4L4,FOXD4L4
FOXD4L5,FOXD4L5
FOXD4L6,FOXD4L6
FOXD5,FOXD5
FOXE1,FOXE1
FOXE3,FOXE3
FOXF1,FOXF1
FOXF1.L,FOXF1.L
FOXF2,FOXF2
FOXF2-DT,FOXF2-DT
FOXF2A,FOXF2A
FOXG1,FOXG1
FOXG1A,FOXG1A
FOXG1B,FOXG1B
FOXG1C,FOXG1C
FOXH1,FOXH1
FOXI1,FOXI1
FOXI1.L,FOXI1.L
FOXI2,FOXI2
FOXI2.S,FOXI2.S
FOXI3,FOXI3
FOXI3A,FOXI3A
FOXJ1,FOXJ1
FOXJ1.2,FOXJ1.2
FOXJ1.L,FOXJ1.L
FOXJ1A,FOXJ1A
FOXJ1B,FOXJ1B
FOXJ2,FOXJ2
FOXJ3,FOXJ3
FOXK1,FOXK1
FOXK2,FOXK2
FOXK2A,FOXK2A
FOXK2B,FOXK2B
FOXL1,FOXL1
FOXL2,FOXL2
FOXL2B,FOXL2B
FOXL2NB,FOXL2NB
FOXL2OS,FOXL2OS
FOXL3,FOXL3
FOXL3-OT1,FOXL3-OT1
FOXM1,FOXM1
FOXN1,FOXN1
FOXN2,FOXN2
FOXN2B,FOXN2B
FOXN3,FOXN3
FOXN3-AS1,FOXN3-AS1
FOXN3-AS2,FOXN3-AS2
FOXN4,FOXN4
FOXO,FOXO
FOXO1,FOXO1
FOXO1A,FOXO1A
FOXO1B,FOXO1B
FOXO3,FOXO3
FOXO3A,FOXO3A
FOXO3B,FOXO3B
FOXO4,FOXO4
FOXO6,FOXO6
FOXO6-AS1,FOXO6-AS1
FOXO6B,FOXO6B
FOXO6OS,FOXO6OS
FOXP1,FOXP1
FOXP1-IT1,FOXP1-IT1
FOXP1A,FOXP1A
FOXP1B,FOXP1B
FOXP2,FOXP2
FOXP3,FOXP3
FOXP3A,FOXP3A
FOXP4,FOXP4
FOXP4-AS1,FOXP4-AS1
FOXQ1,FOXQ1
FOXQ1A,FOXQ1A
FOXQ1B,FOXQ1B
FOXQ2,FOXQ2
FOXR1,FOXR1
FOXR2,FOXR2
FOXRED1,FOXRED1
FOXRED2,FOXRED2
FOXS1,FOXS1
FOZI-1,FOZI-1
FP,FP
FPGS,FPGS
FPGT,FPGT
FPGT-TNNI3K,FPGT-TNNI3K
FPN-1.1,FPN-1.1
FPN-1.2,FPN-1.2
FPPS,FPPS
FPR-RS3,FPR-RS3
FPR-RS4,FPR-RS4
FPR-RS6,FPR-RS6
FPR1,FPR1
FPR2,FPR2
FPR2L,FPR2L
FPR3,FPR3
FRA10AC1,FRA10AC1
FRAS1,FRAS1
FRAT1,FRAT1
FRAT2,FRAT2
FRAY,FRAY
FRED,FRED
FREM1,FREM1
FREM1B,FREM1B
FREM2,FREM2
FREM2A,FREM2A
FREM2B,FREM2B
FREM3,FREM3
FREQ,FREQ
FRG1,FRG1
FRG1-DT,FRG1-DT
FRG1BP,FRG1BP
FRG1CP,FRG1CP
FRG1HP,FRG1HP
FRG1JP,FRG1JP
FRG1L1,FRG1L1
FRG2,FRG2
FRG2B,FRG2B
FRG2C,FRG2C
FRG2DP,FRG2DP
FRG2EP,FRG2EP
FRG2F1,FRG2F1
FRK,FRK
FRK-1,FRK-1
FRM-10,FRM-10
FRM-2,FRM-2
FRM-3,FRM-3
FRM-5.2,FRM-5.2
FRM-8,FRM-8
FRMD1,FRMD1
FRMD3,FRMD3
FRMD4A,FRMD4A
FRMD4B,FRMD4B
FRMD4BA,FRMD4BA
FRMD4BB,FRMD4BB
FRMD5,FRMD5
FRMD6,FRMD6
FRMD6-AS1,FRMD6-AS1
FRMD7,FRMD7
FRMD8,FRMD8
FRMD8P1,FRMD8P1
FRMPD1,FRMPD1
FRMPD1B,FRMPD1B
FRMPD2,FRMPD2
FRMPD2B,FRMPD2B
FRMPD3,FRMPD3
FRMPD4,FRMPD4
FRPR-11,FRPR-11
FRPR-9,FRPR-9
FRQ1,FRQ1
FRQ2,FRQ2
FRRS1,FRRS1
FRRS1A,FRRS1A
FRRS1B,FRRS1B
FRRS1L,FRRS1L
FRS2,FRS2
FRS2A,FRS2A
FRS2B,FRS2B
FRS3,FRS3
FRS3OS,FRS3OS
FRTZ,FRTZ
FRU,FRU
FRY,FRY
FRYB,FRYB
FRYL,FRYL
FRZB,FRZB
FRZB2,FRZB2
FS(1)H,FS(1)H
FS(1)YA,FS(1)YA
FS(1)YB,FS(1)YB
FS(2)KET,FS(2)KET
FSBP,FSBP
FSCB,FSCB
FSCN1,FSCN1
FSCN1A,FSCN1A
FSCN1B,FSCN1B
FSCN2,FSCN2
FSCN2B,FSCN2B
FSCN3,FSCN3
FSD1,FSD1
FSD1L,FSD1L
FSD2,FSD2
FSHB,FSHB
FSHR,FSHR
FSHR-1,FSHR-1
FSIP1,FSIP1
FSIP2,FSIP2
FSIP2-AS2,FSIP2-AS2
FSIP2-PS1,FSIP2-PS1
FSN,FSN
FSN-1,FSN-1
FST,FST
FSTA,FSTA
FSTB,FSTB
FSTL1,FSTL1
FSTL1A,FSTL1A
FSTL1B,FSTL1B
FSTL3,FSTL3
FSTL4,FSTL4
FSTL5,FSTL5
FT,FT
FT2,FT2
FTCD,FTCD
FTCDNL1,FTCDNL1
FTDC2,FTDC2
FTH1,FTH1
FTH1A,FTH1A
FTH1B,FTH1B
FTH1P1,FTH1P1
FTH1P10,FTH1P10
FTH1P11,FTH1P11
FTH1P12,FTH1P12
FTH1P15,FTH1P15
FTH1P16,FTH1P16
FTH1P19,FTH1P19
FTH1P2,FTH1P2
FTH1P20,FTH1P20
FTH1P23,FTH1P23
FTH1P27,FTH1P27
FTH1P3,FTH1P3
FTH1P4,FTH1P4
FTH1P5,FTH1P5
FTH1P7,FTH1P7
FTH1P8,FTH1P8
FTHL17,FTHL17
FTHL17-PS1,FTHL17-PS1
FTHL17A,FTHL17A
FTHL17B,FTHL17B
FTHL17C,FTHL17C
FTHL17D,FTHL17D
FTHL17E,FTHL17E
FTHL18P,FTHL18P
FTHL27,FTHL27
FTHL28,FTHL28
FTHL30,FTHL30
FTHL31,FTHL31
FTL,FTL
FTL1,FTL1
FTL1-PS1,FTL1-PS1
FTL1L1,FTL1L1
FTL2,FTL2
FTL2-PS,FTL2-PS
FTLP10,FTLP10
FTLP12,FTLP12
FTLP2,FTLP2
FTLP3,FTLP3
FTMT,FTMT
FTN-1,FTN-1
FTN-2,FTN-2
FTO,FTO
FTO-IT1,FTO-IT1
FTR-1,FTR-1
FTR01,FTR01
FTR02,FTR02
FTR07,FTR07
FTR11,FTR11
FTR14,FTR14
FTR16,FTR16
FTR19,FTR19
FTR20,FTR20
FTR22,FTR22
FTR23,FTR23
FTR26,FTR26
FTR27,FTR27
FTR30,FTR30
FTR37,FTR37
FTR43,FTR43
FTR50,FTR50
FTR51,FTR51
FTR53,FTR53
FTR54,FTR54
FTR56,FTR56
FTR57,FTR57
FTR58,FTR58
FTR59,FTR59
FTR61,FTR61
FTR63,FTR63
FTR64,FTR64
FTR66,FTR66
FTR67,FTR67
FTR73,FTR73
FTR79,FTR79
FTR81,FTR81
FTR82,FTR82
FTR83,FTR83
FTR84,FTR84
FTR86,FTR86
FTR92,FTR92
FTR97,FTR97
FTSJ1,FTSJ1
FTSJ3,FTSJ3
FTX,FTX
FTZ-F1,FTZ-F1
FU,FU
FUBL-4,FUBL-4
FUBP1,FUBP1
FUBP3,FUBP3
FUCA,FUCA
FUCA1,FUCA1
FUCA1.1,FUCA1.1
FUCA1.2,FUCA1.2
FUCA2,FUCA2
FUCOLECTIN.S,FUCOLECTIN.S
FUCTB,FUCTB
FUK,FUK
FUNDC1,FUNDC1
FUNDC2,FUNDC2
FUNDC2P2,FUNDC2P2
FUOM,FUOM
FUR1,FUR1
FURIN,FURIN
FURINA,FURINA
FURINB,FURINB
FUS,FUS
FUSL,FUSL
FUT-2,FUT-2
FUT-3,FUT-3
FUT1,FUT1
FUT10,FUT10
FUT11,FUT11
FUT2,FUT2
FUT3,FUT3
FUT4,FUT4
FUT4-PS1,FUT4-PS1
FUT5,FUT5
FUT6,FUT6
FUT7,FUT7
FUT8,FUT8
FUT8-AS1,FUT8-AS1
FUT8A,FUT8A
FUT8B,FUT8B
FUT9,FUT9
FUT9A,FUT9A
FUT9B,FUT9B
FUT9B.1,FUT9B.1
FUT9C,FUT9C
FUT9D,FUT9D
FUZ,FUZ
FV1,FV1
FV4,FV4
FXC1-PS1,FXC1-PS1
FXN,FXN
FXR,FXR
FXR1,FXR1
FXR2,FXR2
FXYD1,FXYD1
FXYD11,FXYD11
FXYD2,FXYD2
FXYD3,FXYD3
FXYD4,FXYD4
FXYD5,FXYD5
FXYD5B,FXYD5B
FXYD6,FXYD6
FXYD6L,FXYD6L
FXYD7,FXYD7
FY,FY
FYB,FYB
FYB1,FYB1
FYB2,FYB2
FYBB,FYBB
FYCO1,FYCO1
FYCO1A,FYCO1A
FYCO1B,FYCO1B
FYN,FYN
FYNA,FYNA
FYNB,FYNB
FYTTD1,FYTTD1
FYTTD1L,FYTTD1L
FYTTD1P1,FYTTD1P1
FZD1,FZD1
FZD10,FZD10
FZD10-AS1,FZD10-AS1
FZD2,FZD2
FZD3,FZD3
FZD3A,FZD3A
FZD3B,FZD3B
FZD4,FZD4
FZD5,FZD5
FZD6,FZD6
FZD7,FZD7
FZD7A,FZD7A
FZD7B,FZD7B
FZD8,FZD8
FZD8.S,FZD8.S
FZD8A,FZD8A
FZD8B,FZD8B
FZD9,FZD9
FZD9A,FZD9A
FZD9B,FZD9B
FZO-1,FZO-1
FZR,FZR
FZR1,FZR1
FZR1A,FZR1A
FZR1B,FZR1B
FZY,FZY
FZY-1,FZY-1
G,G
G0S2,G0S2
G12,G12
G2E3,G2E3
G3BP1,G3BP1
G3BP2,G3BP2
G3BP2B,G3BP2B
G3PDH-1,G3PDH-1
G4,G4
G6BOS,G6BOS
G6FL,G6FL
G6PC,G6PC
G6PC1,G6PC1
G6PC1.1.S,G6PC1.1.S
G6PC1A.1,G6PC1A.1
G6PC1A.2,G6PC1A.2
G6PC1B,G6PC1B
G6PC2,G6PC2
G6PC3,G6PC3
G6PCA.1,G6PCA.1
G6PCA.2,G6PCA.2
G6PD,G6PD
G6PD2,G6PD2
G6PDX,G6PDX
G9A,G9A
GAA,GAA
GAA2,GAA2
GAB1,GAB1
GAB2,GAB2
GAB3,GAB3
GAB4,GAB4
GABARAP,GABARAP
GABARAPA,GABARAPA
GABARAPB,GABARAPB
GABARAPL1,GABARAPL1
GABARAPL2,GABARAPL2
GABARAPL3,GABARAPL3
GABBR1,GABBR1
GABBR1A,GABBR1A
GABBR1B,GABBR1B
GABBR2,GABBR2
GABPA,GABPA
GABPB1,GABPB1
GABPB1-AS1,GABPB1-AS1
GABPB1-IT1,GABPB1-IT1
GABPB1.S,GABPB1.S
GABPB1L,GABPB1L
GABPB2,GABPB2
GABPB2A,GABPB2A
GABPB2B,GABPB2B
GABRA1,GABRA1
GABRA2,GABRA2
GABRA2A,GABRA2A
GABRA3,GABRA3
GABRA4,GABRA4
GABRA5,GABRA5
GABRA6,GABRA6
GABRA6A,GABRA6A
GABRA6B,GABRA6B
GABRB1,GABRB1
GABRB2,GABRB2
GABRB2B,GABRB2B
GABRB3,GABRB3
GABRB4,GABRB4
GABRD,GABRD
GABRE,GABRE
GABRG1,GABRG1
GABRG2,GABRG2
GABRG3,GABRG3
GABRP,GABRP
GABRQ,GABRQ
GABRR1,GABRR1
GABRR2,GABRR2
GABRR2A,GABRR2A
GABRR3,GABRR3
GABRR3A,GABRR3A
GACAT1,GACAT1
GACAT3,GACAT3
GAD,GAD
GAD1,GAD1
GAD1-PS,GAD1-PS
GAD1A,GAD1A
GAD1B,GAD1B
GAD1OS,GAD1OS
GAD2,GAD2
GADD45,GADD45
GADD45A,GADD45A
GADD45AA,GADD45AA
GADD45AB,GADD45AB
GADD45B,GADD45B
GADD45BA,GADD45BA
GADD45BB,GADD45BB
GADD45G,GADD45G
GADD45GA,GADD45GA
GADD45GB.1,GADD45GB.1
GADD45GIP1,GADD45GIP1
GADL1,GADL1
GADR-1,GADR-1
GADR-2,GADR-2
GADR-3,GADR-3
GADR-4,GADR-4
GAGE1,GAGE1
GAGE10,GAGE10
GAGE12B,GAGE12B
GAGE12F,GAGE12F
GAGE12G,GAGE12G
GAGE12I,GAGE12I
GAGE12J,GAGE12J
GAGE2A,GAGE2A
GAGE2B,GAGE2B
GAGE2E,GAGE2E
GAGE4,GAGE4
GAGE5,GAGE5
GAGE6,GAGE6
GAGE7,GAGE7
GAGE8,GAGE8
GAJ,GAJ
GAK,GAK
GAKH-1,GAKH-1
GAL,GAL
GAL3,GAL3
GAL3ST1,GAL3ST1
GAL3ST1A,GAL3ST1A
GAL3ST1B,GAL3ST1B
GAL3ST2,GAL3ST2
GAL3ST2B,GAL3ST2B
GAL3ST2C,GAL3ST2C
GAL3ST3,GAL3ST3
GAL3ST4,GAL3ST4
GALC,GALC
GALCA,GALCA
GALCB,GALCB
GALE,GALE
GALK,GALK
GALK1,GALK1
GALK2,GALK2
GALM,GALM
GALNS,GALNS
GALNT1,GALNT1
GALNT10,GALNT10
GALNT11,GALNT11
GALNT12,GALNT12
GALNT13,GALNT13
GALNT14,GALNT14
GALNT15,GALNT15
GALNT16,GALNT16
GALNT17,GALNT17
GALNT18,GALNT18
GALNT18A,GALNT18A
GALNT18B,GALNT18B
GALNT2,GALNT2
GALNT3,GALNT3
GALNT4,GALNT4
GALNT5,GALNT5
GALNT6,GALNT6
GALNT6OS,GALNT6OS
GALNT7,GALNT7
GALNT7-DT,GALNT7-DT
GALNT8,GALNT8
GALNT8A.2,GALNT8A.2
GALNT8B.1,GALNT8B.1
GALNT9,GALNT9
GALNTL5,GALNTL5
GALNTL6,GALNTL6
GALP,GALP
GALPHAO,GALPHAO
GALPHAQ,GALPHAQ
GALR1,GALR1
GALR2,GALR2
GALR2B,GALR2B
GALR3,GALR3
GALT,GALT
GALT-1,GALT-1
GAM1,GAM1
GAMMATRY,GAMMATRY
GAMMATUB37C,GAMMATUB37C
GAMT,GAMT
GAN,GAN
GANAB,GANAB
GANC,GANC
GAP-2,GAP-2
GAP43,GAP43
GAP43.L,GAP43.L
GAPDH,GAPDH
GAPDH-PS1,GAPDH-PS1
GAPDH-PS2,GAPDH-PS2
GAPDH1,GAPDH1
GAPDH2,GAPDH2
GAPDHP1,GAPDHP1
GAPDHP23,GAPDHP23
GAPDHP44,GAPDHP44
GAPDHP52,GAPDHP52
GAPDHP60,GAPDHP60
GAPDHP61,GAPDHP61
GAPDHP71,GAPDHP71
GAPDHP72,GAPDHP72
GAPDHS,GAPDHS
GAPLINC,GAPLINC
GAPT,GAPT
GAPVD1,GAPVD1
GAR-1,GAR-1
GAR-2,GAR-2
GAR-3,GAR-3
GAR1,GAR1
GAREM,GAREM
GAREM1,GAREM1
GAREM2,GAREM2
GAREML,GAREML
GARIN1A,GARIN1A
GARIN1B,GARIN1B
GARIN2,GARIN2
GARIN3,GARIN3
GARIN4,GARIN4
GARIN5A,GARIN5A
GARIN5B,GARIN5B
GARIN6,GARIN6
GARNL3,GARNL3
GARRE1,GARRE1
GARS,GARS
GARS1,GARS1
GARS1-DT,GARS1-DT
GART,GART
GAS-1,GAS-1
GAS1,GAS1
GAS1A,GAS1A
GAS1B,GAS1B
GAS1RR,GAS1RR
GAS2,GAS2
GAS2L1,GAS2L1
GAS2L1P2,GAS2L1P2
GAS2L2,GAS2L2
GAS2L3,GAS2L3
GAS5,GAS5
GAS5-AS1,GAS5-AS1
GAS6,GAS6
GAS6-AS1,GAS6-AS1
GAS6-DT,GAS6-DT
GAS7,GAS7
GAS7A,GAS7A
GAS8,GAS8
GAS8-AS1,GAS8-AS1
GASAL1,GASAL1
GASK1A,GASK1A
GASK1B,GASK1B
GASK1B-AS1,GASK1B-AS1
GASP,GASP
GAST,GAST
GAT,GAT
GATA,GATA
GATA1,GATA1
GATA1A,GATA1A
GATA1B,GATA1B
GATA2,GATA2
GATA2-AS1,GATA2-AS1
GATA2A,GATA2A
GATA2B,GATA2B
GATA3,GATA3
GATA3-AS1,GATA3-AS1
GATA4,GATA4
GATA4.L,GATA4.L
GATA4.S,GATA4.S
GATA5,GATA5
GATA5OS,GATA5OS
GATA6,GATA6
GATA6-AS1,GATA6-AS1
GATA6OS,GATA6OS
GATAD1,GATAD1
GATAD2A,GATAD2A
GATAD2AB,GATAD2AB
GATAD2B,GATAD2B
GATAE,GATAE
GATB,GATB
GATC,GATC
GATD1,GATD1
GATD3,GATD3
GATD3.L,GATD3.L
GATD3A,GATD3A
GATD3AL2,GATD3AL2
GATD3L,GATD3L
GATM,GATM
GATS,GATS
GATSL2,GATSL2
GATSL3,GATSL3
GAU1,GAU1
GB,GB
GBA,GBA
GBA-2,GBA-2
GBA-4,GBA-4
GBA1A,GBA1A
GBA2,GBA2
GBA3,GBA3
GBAP1,GBAP1
GBAS,GBAS
GBE,GBE
GBE1,GBE1
GBE1A,GBE1A
GBE1B,GBE1B
GBETA13F,GBETA13F
GBETA5,GBETA5
GBF1,GBF1
GBGT1,GBGT1
GBGT1L1,GBGT1L1
GBGT1L3,GBGT1L3
GBGT1L4,GBGT1L4
GBH-2,GBH-2
GBLP,GBLP
GBP,GBP
GBP1,GBP1
GBP10,GBP10
GBP11,GBP11
GBP1P1,GBP1P1
GBP2,GBP2
GBP2B,GBP2B
GBP3,GBP3
GBP4,GBP4
GBP5,GBP5
GBP6,GBP6
GBP7,GBP7
GBP8,GBP8
GBP9,GBP9
GBRAP,GBRAP
GBX1,GBX1
GBX2,GBX2
GBX2.1.S,GBX2.1.S
GBX2.2.L,GBX2.2.L
GC,GC
GC2,GC2
GCA,GCA
GCAT,GCAT
GCC1,GCC1
GCC2,GCC2
GCC2-AS1,GCC2-AS1
GCDH,GCDH
GCDHA,GCDHA
GCDHB,GCDHB
GCFC2,GCFC2
GCG,GCG
GCG1,GCG1
GCGA,GCGA
GCGB,GCGB
GCGR,GCGR
GCGRA,GCGRA
GCGRB,GCGRB
GCH1,GCH1
GCH2,GCH2
GCHFR,GCHFR
GCK,GCK
GCK-3,GCK-3
GCKR,GCKR
GCL,GCL
GCLC,GCLC
GCLM,GCLM
GCM1,GCM1
GCM2,GCM2
GCN1,GCN1
GCNA,GCNA
GCNA-1,GCNA-1
GCNT1,GCNT1
GCNT2,GCNT2
GCNT3,GCNT3
GCNT4,GCNT4
GCNT4A,GCNT4A
GCNT4B.1,GCNT4B.1
GCNT4B.2,GCNT4B.2
GCNT7,GCNT7
GCOM1,GCOM1
GCP-2.1,GCP-2.1
GCRG224,GCRG224
GCS-1,GCS-1
GCS1,GCS1
GCSAM,GCSAM
GCSAML,GCSAML
GCSAML-AS1,GCSAML-AS1
GCSH,GCSH
GCSH-1,GCSH-1
GCSH-2,GCSH-2
GCSHA,GCSHA
GCSHB,GCSHB
GCSHP3,GCSHP3
GCST-1,GCST-1
GCY-12,GCY-12
GCY-2,GCY-2
GCY-28,GCY-28
GCY-31,GCY-31
GCY-35,GCY-35
GCY-37,GCY-37
GCY-4,GCY-4
GCY-5,GCY-5
GDA,GDA
GDAP1,GDAP1
GDAP10,GDAP10
GDAP1L1,GDAP1L1
GDAP2,GDAP2
GDAP5,GDAP5
GDAP7,GDAP7
GDE1,GDE1
GDF1,GDF1
GDF10,GDF10
GDF10A,GDF10A
GDF10B,GDF10B
GDF11,GDF11
GDF15,GDF15
GDF2,GDF2
GDF3,GDF3
GDF5,GDF5
GDF5-AS1,GDF5-AS1
GDF6,GDF6
GDF6A,GDF6A
GDF6B,GDF6B
GDF7,GDF7
GDF9,GDF9
GDH,GDH
GDH-1,GDH-1
GDI,GDI
GDI1,GDI1
GDI2,GDI2
GDNF,GDNF
GDNF-AS1,GDNF-AS1
GDNFA,GDNFA
GDPD1,GDPD1
GDPD2,GDPD2
GDPD3,GDPD3
GDPD3A,GDPD3A
GDPD4,GDPD4
GDPD5,GDPD5
GDPD5A,GDPD5A
GDPD5B,GDPD5B
GDPGP1,GDPGP1
GE,GE
GE-1,GE-1
GEI-13,GEI-13
GEI-17,GEI-17
GEI-18,GEI-18
GEL,GEL
GEM,GEM
GEM-4,GEM-4
GEMIN2,GEMIN2
GEMIN4,GEMIN4
GEMIN5,GEMIN5
GEMIN6,GEMIN6
GEMIN7,GEMIN7
GEMIN7-AS1,GEMIN7-AS1
GEMIN7L1,GEMIN7L1
GEMIN8,GEMIN8
GEMIN8P4,GEMIN8P4
GEN,GEN
GEN1,GEN1
GER-1,GER-1
GES-1,GES-1
GET1,GET1
GET3,GET3
GET4,GET4
GEX-2,GEX-2
GFAP,GFAP
GFAT-2,GFAT-2
GFAT1,GFAT1
GFAT2,GFAT2
GFER,GFER
GFI-1,GFI-1
GFI1,GFI1
GFI1AA,GFI1AA
GFI1AB,GFI1AB
GFI1B,GFI1B
GFM1,GFM1
GFM2,GFM2
GFOD1,GFOD1
GFOD1-AS1,GFOD1-AS1
GFOD2,GFOD2
GFPT1,GFPT1
GFPT2,GFPT2
GFRA1,GFRA1
GFRA1A,GFRA1A
GFRA2,GFRA2
GFRA2A,GFRA2A
GFRA2B,GFRA2B
GFRA3,GFRA3
GFRA4,GFRA4
GFRA4B,GFRA4B
GFRAL,GFRAL
GFUS,GFUS
GFUS.3,GFUS.3
GFY,GFY
GFZF,GFZF
GGA1,GGA1
GGA2,GGA2
GGA3,GGA3
GGACT,GGACT
GGACT.3,GGACT.3
GGAMMA30A,GGAMMA30A
GGCT,GGCT
GGCTB,GGCTB
GGCX,GGCX
GGH,GGH
GGH.2.L,GGH.2.L
GGN,GGN
GGNBP1,GGNBP1
GGNBP2,GGNBP2
GGNBP2OS,GGNBP2OS
GGPS1,GGPS1
GGT1,GGT1
GGT1A,GGT1A
GGT1B,GGT1B
GGT2,GGT2
GGT2P,GGT2P
GGT3P,GGT3P
GGT4P,GGT4P
GGT5,GGT5
GGT5A,GGT5A
GGT5B,GGT5B
GGT6,GGT6
GGT7,GGT7
GGT8P,GGT8P
GGTA1,GGTA1
GGTLC1,GGTLC1
GGTLC2,GGTLC2
GGTLC3,GGTLC3
GH,GH
GH1,GH1
GH18,GH18
GH2,GH2
GHDC,GHDC
GHET1,GHET1
GHI-1,GHI-1
GHITM,GHITM
GHR,GHR
GHR1,GHR1
GHRA,GHRA
GHRB,GHRB
GHRH,GHRH
GHRHR,GHRHR
GHRHR2,GHRHR2
GHRHRA,GHRHRA
GHRHRL,GHRHRL
GHRL,GHRL
GHRLOS,GHRLOS
GHSR,GHSR
GHSRB,GHSRB
GID-2,GID-2
GID-8,GID-8
GID4,GID4
GID8,GID8
GID8A,GID8A
GID8B,GID8B
GIF,GIF
GIG2K,GIG2K
GIG2O,GIG2O
GIGYF1,GIGYF1
GIGYF1A,GIGYF1A
GIGYF1B,GIGYF1B
GIGYF2,GIGYF2
GIHCG,GIHCG
GIIISPLA2,GIIISPLA2
GIMAP1,GIMAP1
GIMAP1-GIMAP5,GIMAP1-GIMAP5
GIMAP2,GIMAP2
GIMAP3,GIMAP3
GIMAP4,GIMAP4
GIMAP5,GIMAP5
GIMAP6,GIMAP6
GIMAP7,GIMAP7
GIMAP8,GIMAP8
GIMAP9,GIMAP9
GIMD1,GIMD1
GIN1,GIN1
GINM1,GINM1
GINS1,GINS1
GINS2,GINS2
GINS3,GINS3
GINS4,GINS4
GIOT1,GIOT1
GIP,GIP
GIPC-1,GIPC-1
GIPC-2,GIPC-2
GIPC1,GIPC1
GIPC2,GIPC2
GIPC3,GIPC3
GIPR,GIPR
GIT1,GIT1
GIT2,GIT2
GIT2A,GIT2A
GIT2B,GIT2B
GJA1,GJA1
GJA10,GJA10
GJA10B,GJA10B
GJA11,GJA11
GJA12.1,GJA12.1
GJA12.2,GJA12.2
GJA13.1,GJA13.1
GJA13.2,GJA13.2
GJA1B,GJA1B
GJA2,GJA2
GJA3,GJA3
GJA4,GJA4
GJA5,GJA5
GJA5A,GJA5A
GJA6,GJA6
GJA7,GJA7
GJA8,GJA8
GJA8A,GJA8A
GJA8B,GJA8B
GJA9,GJA9
GJA9-MYCBP,GJA9-MYCBP
GJA9A,GJA9A
GJA9B,GJA9B
GJB1,GJB1
GJB10,GJB10
GJB1A,GJB1A
GJB1B,GJB1B
GJB2,GJB2
GJB3,GJB3
GJB4,GJB4
GJB5,GJB5
GJB6,GJB6
GJB7,GJB7
GJB7.S,GJB7.S
GJB8,GJB8
GJB9B,GJB9B
GJC1,GJC1
GJC2,GJC2
GJC3,GJC3
GJC4A.1,GJC4A.1
GJC4B,GJC4B
GJD2,GJD2
GJD2-DT,GJD2-DT
GJD3,GJD3
GJD4,GJD4
GJD6,GJD6
GJE1,GJE1
GK,GK
GK-AS1,GK-AS1
GK-IT1,GK-IT1
GK2,GK2
GK3P,GK3P
GK5,GK5
GK6P,GK6P
GKAP1,GKAP1
GKN1,GKN1
GKN2,GKN2
GKN3,GKN3
GKOW-1,GKOW-1
GKT,GKT
GKUP,GKUP
GLA,GLA
GLAZ,GLAZ
GLB-1,GLB-1
GLB-11,GLB-11
GLB-13,GLB-13
GLB-18,GLB-18
GLB-29,GLB-29
GLB1,GLB1
GLB1L,GLB1L
GLB1L2,GLB1L2
GLB1L3,GLB1L3
GLC-1,GLC-1
GLC-2,GLC-2
GLC-4,GLC-4
GLCAT-I,GLCAT-I
GLCAT-P,GLCAT-P
GLCCI1,GLCCI1
GLCCI1-DT,GLCCI1-DT
GLCE,GLCE
GLCEA,GLCEA
GLCEB,GLCEB
GLCT-6,GLCT-6
GLD,GLD
GLD-1,GLD-1
GLD-3,GLD-3
GLDC,GLDC
GLDC-1,GLDC-1
GLDCP1,GLDCP1
GLDN,GLDN
GLE1,GLE1
GLE1-PS1,GLE1-PS1
GLF-1,GLF-1
GLG1,GLG1
GLG1A,GLG1A
GLG1B,GLG1B
GLH-1,GLH-1
GLH-2,GLH-2
GLH-3,GLH-3
GLH-4,GLH-4
GLI,GLI
GLI1,GLI1
GLI2,GLI2
GLI2A,GLI2A
GLI2B,GLI2B
GLI3,GLI3
GLI4,GLI4
GLIDR,GLIDR
GLIPR1,GLIPR1
GLIPR1A,GLIPR1A
GLIPR1B,GLIPR1B
GLIPR1L1,GLIPR1L1
GLIPR1L2,GLIPR1L2
GLIPR1L3,GLIPR1L3
GLIPR2,GLIPR2
GLIPR2L,GLIPR2L
GLIS1,GLIS1
GLIS2,GLIS2
GLIS2-AS1,GLIS2-AS1
GLIS2A,GLIS2A
GLIS2B,GLIS2B
GLIS3,GLIS3
GLIS3-AS1,GLIS3-AS1
GLIT-1,GLIT-1
GLMN,GLMN
GLMNA,GLMNA
GLMNB,GLMNB
GLMP,GLMP
GLN-1,GLN-1
GLN-2,GLN-2
GLN-4,GLN-4
GLN-5,GLN-5
GLN-6,GLN-6
GLNA-1,GLNA-1
GLNA-2,GLNA-2
GLNA-3,GLNA-3
GLNS,GLNS
GLNS-PS1,GLNS-PS1
GLO1,GLO1
GLOB1,GLOB1
GLOD4,GLOD4
GLOD5,GLOD5
GLP-1,GLP-1
GLP1R,GLP1R
GLP2R,GLP2R
GLR-1,GLR-1
GLR-2,GLR-2
GLR-3,GLR-3
GLR-4,GLR-4
GLR-6,GLR-6
GLR-7,GLR-7
GLRA1,GLRA1
GLRA2,GLRA2
GLRA3,GLRA3
GLRA4,GLRA4
GLRA4A,GLRA4A
