keyge,group,category,description
gene:100003342,genomic,gene,gene:100003342
gene:100003354,genomic,gene,gene:100003354
gene:100003376,genomic,gene,gene:100003376
gene:100003397,genomic,gene,gene:100003397
gene:100003413,genomic,gene,gene:100003413
gene:100003419,genomic,gene,gene:100003419
gene:100003438,genomic,gene,gene:100003438
gene:100003446,genomic,gene,gene:100003446
gene:100003476,genomic,gene,gene:100003476
gene:100003481,genomic,gene,gene:100003481
gene:100003539,genomic,gene,gene:100003539
gene:100003558,genomic,gene,gene:100003558
gene:100003563,genomic,gene,gene:100003563
gene:100003572,genomic,gene,gene:100003572
gene:100003663,genomic,gene,gene:100003663
gene:100003670,genomic,gene,gene:100003670
gene:100003675,genomic,gene,gene:100003675
gene:100003679,genomic,gene,gene:100003679
gene:100003691,genomic,gene,gene:100003691
gene:100003770,genomic,gene,gene:100003770
gene:100003782,genomic,gene,gene:100003782
gene:100003801,genomic,gene,gene:100003801
gene:100003848,genomic,gene,gene:100003848
gene:100003859,genomic,gene,gene:100003859
gene:100003889,genomic,gene,gene:100003889
gene:100003896,genomic,gene,gene:100003896
gene:100003900,genomic,gene,gene:100003900
gene:100003938,genomic,gene,gene:100003938
gene:100003956,genomic,gene,gene:100003956
gene:100003969,genomic,gene,gene:100003969
gene:100003994,genomic,gene,gene:100003994
gene:100003999,genomic,gene,gene:100003999
gene:100004011,genomic,gene,gene:100004011
gene:100004024,genomic,gene,gene:100004024
gene:100004063,genomic,gene,gene:100004063
gene:100004076,genomic,gene,gene:100004076
gene:100004116,genomic,gene,gene:100004116
gene:100004137,genomic,gene,gene:100004137
gene:100004161,genomic,gene,gene:100004161
gene:100004175,genomic,gene,gene:100004175
gene:100004181,genomic,gene,gene:100004181
gene:100004228,genomic,gene,gene:100004228
gene:100004261,genomic,gene,gene:100004261
gene:100004265,genomic,gene,gene:100004265
gene:100004272,genomic,gene,gene:100004272
gene:100004287,genomic,gene,gene:100004287
gene:100004296,genomic,gene,gene:100004296
gene:100004299,genomic,gene,gene:100004299
gene:100004357,genomic,gene,gene:100004357
gene:100004384,genomic,gene,gene:100004384
gene:100004428,genomic,gene,gene:100004428
gene:100004455,genomic,gene,gene:100004455
gene:100004503,genomic,gene,gene:100004503
gene:100004566,genomic,gene,gene:100004566
gene:100004589,genomic,gene,gene:100004589
gene:100004607,genomic,gene,gene:100004607
gene:100004611,genomic,gene,gene:100004611
gene:100004613,genomic,gene,gene:100004613
gene:100004617,genomic,gene,gene:100004617
gene:100004688,genomic,gene,gene:100004688
gene:100004703,genomic,gene,gene:100004703
gene:100004727,genomic,gene,gene:100004727
gene:100004736,genomic,gene,gene:100004736
gene:100004770,genomic,gene,gene:100004770
gene:100004801,genomic,gene,gene:100004801
gene:100004809,genomic,gene,gene:100004809
gene:100004819,genomic,gene,gene:100004819
gene:100004842,genomic,gene,gene:100004842
gene:100004895,genomic,gene,gene:100004895
gene:100004913,genomic,gene,gene:100004913
gene:100004929,genomic,gene,gene:100004929
gene:100004942,genomic,gene,gene:100004942
gene:100004946,genomic,gene,gene:100004946
gene:100004954,genomic,gene,gene:100004954
gene:100004956,genomic,gene,gene:100004956
gene:100004969,genomic,gene,gene:100004969
gene:100004990,genomic,gene,gene:100004990
gene:100005000,genomic,gene,gene:100005000
