keyge,group,category,description
chem:c000598216,environment,chemicals,c000598216
chem:c000598422,environment,chemicals,c000598422
chem:c000598518,environment,chemicals,c000598518
chem:c000598619,environment,chemicals,c000598619
chem:c000598659,environment,chemicals,c000598659
chem:c000598690,environment,chemicals,c000598690
chem:c000598691,environment,chemicals,c000598691
chem:c000598729,environment,chemicals,c000598729
chem:c000598755,environment,chemicals,c000598755
chem:c000598873,environment,chemicals,c000598873
chem:c000599091,environment,chemicals,c000599091
chem:c000599093,environment,chemicals,c000599093
chem:c000599178,environment,chemicals,c000599178
chem:c000599179,environment,chemicals,c000599179
chem:c000599185,environment,chemicals,c000599185
chem:c000599236,environment,chemicals,c000599236
chem:c000599307,environment,chemicals,c000599307
chem:c000599671,environment,chemicals,c000599671
chem:c000599672,environment,chemicals,c000599672
chem:c000599870,environment,chemicals,c000599870
chem:c000599896,environment,chemicals,c000599896
chem:c000599935,environment,chemicals,c000599935
chem:c000600161,environment,chemicals,c000600161
chem:c000600304,environment,chemicals,c000600304
chem:c000600309,environment,chemicals,c000600309
chem:c000600334,environment,chemicals,c000600334
chem:c000600490,environment,chemicals,c000600490
chem:c000600531,environment,chemicals,c000600531
chem:c000600670,environment,chemicals,c000600670
chem:c000600690,environment,chemicals,c000600690
chem:c000600804,environment,chemicals,c000600804
chem:c000600805,environment,chemicals,c000600805
chem:c000600816,environment,chemicals,c000600816
chem:c000600817,environment,chemicals,c000600817
chem:c000600819,environment,chemicals,c000600819
chem:c000600849,environment,chemicals,c000600849
chem:c000601052,environment,chemicals,c000601052
chem:c000601074,environment,chemicals,c000601074
chem:c000601106,environment,chemicals,c000601106
chem:c000601179,environment,chemicals,c000601179
chem:c000601293,environment,chemicals,c000601293
chem:c000601815,environment,chemicals,c000601815
chem:c000601816,environment,chemicals,c000601816
chem:c000601996,environment,chemicals,c000601996
chem:c000602001,environment,chemicals,c000602001
chem:c000602007,environment,chemicals,c000602007
chem:c000602008,environment,chemicals,c000602008
chem:c000602093,environment,chemicals,c000602093
chem:c000602096,environment,chemicals,c000602096
chem:c000602100,environment,chemicals,c000602100
chem:c000602225,environment,chemicals,c000602225
chem:c000602261,environment,chemicals,c000602261
chem:c000602275,environment,chemicals,c000602275
chem:c000602458,environment,chemicals,c000602458
chem:c000602510,environment,chemicals,c000602510
chem:c000602566,environment,chemicals,c000602566
chem:c000602588,environment,chemicals,c000602588
chem:c000602674,environment,chemicals,c000602674
chem:c000602704,environment,chemicals,c000602704
chem:c000602816,environment,chemicals,c000602816
chem:c000603033,environment,chemicals,c000603033
chem:c000603149,environment,chemicals,c000603149
chem:c000603150,environment,chemicals,c000603150
chem:c000603178,environment,chemicals,c000603178
chem:c000603302,environment,chemicals,c000603302
chem:c000603336,environment,chemicals,c000603336
chem:c000603415,environment,chemicals,c000603415
chem:c000603489,environment,chemicals,c000603489
chem:c000603500,environment,chemicals,c000603500
chem:c000603501,environment,chemicals,c000603501
chem:c000603579,environment,chemicals,c000603579
chem:c000603674,environment,chemicals,c000603674
chem:c000603860,environment,chemicals,c000603860
chem:c000603861,environment,chemicals,c000603861
chem:c000603962,environment,chemicals,c000603962
chem:c000603978,environment,chemicals,c000603978
